"noc_title","2.C.3.a - Comp and Elec","2.C.3.b - Eng and Tech","2.C.9.a - Telco","2.B.3.b - Tech Design","2.B.3.e - Programming","4.A.3.b.1 - Inter w Comp","Rank - Tech Design","Rank - Programming","Rank - Comp and Elec","Rank - Inter w Comp","Rank - Eng and Tech","Rank - Telco","harm.rank","harm.rank.digital","harm.rank.no.tel","tech","digital","tech.no.tel","noc_code","noc_name"
"5244 Artisans and craftspersons",5.83585555555556,7.13144444444444,1.70704444444444,2.75333333333333,0.512711111111111,6.19737777777778,83,315,354,362,157,335,200.358336797263,341.516355986797,185.390108985297,0,NA,NA,"5244"," Artisans and craftspersons"
"5245 Patternmakers - textile, leather and fur products",9.0746,8.671,1.4964,3.18,2.5,12.1225,58,64.5,252,210,123,363,116.009274789406,149.777202764057,102.0975952855,0,NA,NA,"5245"," Patternmakers - textile, leather and fur products"
"5251 Athletes",7.3935,5.0151,4.761,1.6544,0,6.3753,193.5,446,315,356,210,75,192.052648360015,187.25970531162,276.494558188815,0,NA,NA,"5251"," Athletes"
"5252 Coaches",6.318,0.9956,2.9394,2.82,0,9.8072,75.5,446,347,258,420,187,201.761751209703,279.899327583787,204.759462681247,0,NA,NA,"5252"," Coaches"
"5253 Sports officials and referees",5.0882,0.6448,1.2118,1.0044,0,4.6172,330,446,372,395,448,395,394.297765816623,401.25968804981,393.959073593429,0,NA,NA,"5253"," Sports officials and referees"
"5254 Program leaders and instructors in recreation, sport and fitness",4.1591,1.7739,1.9594,1.0275,0,1.689975,320,446,389,461,361,292,369.085265281757,385.404334072626,389.303893264163,0,NA,NA,"5254"," Program leaders and instructors in recreation, sport and fitness"
"6211 Retail sales supervisors",12.7766,1.241,1.554,1.6544,1.75,9.9144,193.5,92.5,134,254,397,352,184.553060312606,160.920307160302,168.474316395988,0,NA,NA,"6211"," Retail sales supervisors"
"6221 Technical sales specialists - wholesale trade",11.1982,10.8125,4.047,3.0264,1.58375,10.516275,63,104,173,242,89,101,107.284252082303,137.032836845244,108.407492311686,0,NA,NA,"6221"," Technical sales specialists - wholesale trade"
"6222 Retail and wholesale buyers",14.144,2.8952,3.4848,1.0044,1.54,14.3112,330,109.5,93,159,301,137,151.83394623263,120.538390363234,154.940376430903,0,NA,NA,"6222"," Retail and wholesale buyers"
"6231 Insurance agents and brokers",9.454,0.1177,3.4545,1.3125,1.3125,14.4724,262.5,135.5,236,154,479.5,138,193.127829551784,158.785140503065,209.439335530229,0,NA,NA,"6231"," Insurance agents and brokers"
"6232 Real estate agents and salespersons",13.2924,0.6072,3.0228,0.69,1.035,14.4075,387,180,112,155,452,180,192.961021244461,152.036118887367,195.545467085419,0,NA,NA,"6232"," Real estate agents and salespersons"
"6235 Financial sales representatives",5.2206,0.7434,1.3912,0.75,1.215,17.6391,371,148.5,367,69,442,377,191.796972425558,151.874291377269,174.595775591271,0,NA,NA,"6235"," Financial sales representatives"
"6311 Food service supervisors",9.164,2.4522,1.5312,1.0044,0.5244,8.5176,330,301.5,248,305,326,359,308.53321057861,299.230953670515,299.956651782588,0,NA,NA,"6311"," Food service supervisors"
"6312 Executive housekeepers",7.1556,5.3352,3.0672,0.475,0,4.3316,423.5,446,318.5,407.5,199.5,175.5,288.129448631245,296.719842663514,329.853356008457,0,NA,NA,"6312"," Executive housekeepers"
"6313 Accommodation, travel, tourism and related services supervisors",6.8904,0.1177,1.7195,1.8144,1.4256,9.8264,170.5,120,329,257,479.5,334,230.168325876182,220.315156366854,216.611464695051,0,NA,NA,"6313"," Accommodation, travel, tourism and related services supervisors"
"6314 Customer and information services supervisors",6.8855,0.91,1.5405,1.0044,0.5244,10.3059,330,301.5,331,247,429,355,324.222508346189,303.972614790172,318.535839811885,0,NA,NA,"6314"," Customer and information services supervisors"
"6315 Cleaning supervisors",7.1556,5.3352,3.0672,0.475,0,4.3316,423.5,446,318.5,407.5,199.5,175.5,288.129448631245,296.719842663514,329.853356008457,0,NA,NA,"6315"," Cleaning supervisors"
"6316 Other services supervisors",6.8855,0.91,1.5405,1.0044,0.5244,10.3059,330,301.5,331,247,429,355,324.222508346189,303.972614790172,318.535839811885,0,NA,NA,"6316"," Other services supervisors"
"6321 Chefs",8.436,3.0155,2.548,1.54,0.3125,9.1123,217,344.5,278,280,295,228,268.220547855382,277.698392972163,277.73397913913,0,NA,NA,"6321"," Chefs"
"6322 Cooks",3.4112,1.0147,0.9804,0.3125,0.3125,5.985,439.5,344.5,411,367,418,415,397.362563352656,383.039841200491,393.833692919304,0,NA,NA,"6322"," Cooks"
"6331 Butchers, meat cutters and fishmongers - retail and wholesale",3.0051,1.5345,0.462,0.69,0.1344,5.95,387,394,437.5,368.5,375,467.5,402.958440281343,414.37985342721,391.990803709106,0,NA,NA,"6331"," Butchers, meat cutters and fishmongers - retail and wholesale"
"6332 Bakers",5.3965,3.4608,1.7472,1.54,0,3.422,217,446,362,427,270,316,319.826475011543,381.570884367696,320.397829243789,0,NA,NA,"6332"," Bakers"
"6341 Hairstylists and barbers",4.7652,1.9092,0.516,1.75,0.5244,7.552,178.5,301.5,377,333,352,461,307.476384522235,360.042423113998,288.197866632604,0,NA,NA,"6341"," Hairstylists and barbers"
"6342 Tailors, dressmakers, furriers and milliners",1.656,1.794,0.9009,1.62,0,0.5694,202,446,462,478,358,427,362.916718605979,453.45844511302,352.205190783458,0,NA,NA,"6342"," Tailors, dressmakers, furriers and milliners"
"6343 Shoe repairers and shoemakers",0.9174,2.9829,0.534,0.1344,0,0.9792,461.5,446,475,473,297,457,424.059603514248,463.441017587514,417.866350409036,0,NA,NA,"6343"," Shoe repairers and shoemakers"
"6344 Jewellers, jewellery and watch repairers and related occupations",4.28264375,6.48496875,1.616375,2.465625,0.174375,3.67314375,101,384,385,420,173,343,230.579465339278,382.031170437611,216.315173134542,0,NA,NA,"6344"," Jewellers, jewellery and watch repairers and related occupations"
"6345 Upholsterers",1.8683,2.765,1.0143,2.5944,0,4.6258,91,446,457,394,307,409,255.237353479079,425.930089805292,237.321044720062,0,NA,NA,"6345"," Upholsterers"
"6346 Funeral directors and embalmers",10.6855,1.962,3.776575,1.215,0.2975,9.65615,289.5,363,202,263,348,118,229.250257722041,201.363216348667,281.390357638188,0,NA,NA,"6346"," Funeral directors and embalmers"
"6411 Sales and account representatives - wholesale trade (non-technical)",7.4347,3.0576,2.2066,1.215,0.75,12.5961,289.5,256,313,202,291,266.5,265.402308742323,254.12653703121,264.9867122491,0,NA,NA,"6411"," Sales and account representatives - wholesale trade (non-technical)"
"6421 Retail salespersons",9.9659,1.6065,1.965125,1.47875,0.39375,10.5875,231,321,224,240,370,291,271.127224635482,264.479078499109,267.305709547106,0,NA,NA,"6421"," Retail salespersons"
"6511 Ma�tres d'h�tel and hosts/hostesses",6.7077,1.9005,2.9161,0.1344,0.3125,3.876,461.5,344.5,336,413,353,191,324.806649100814,296.614721498912,376.954653706814,0,NA,NA,"6511"," Ma�tres d'h�tel and hosts/hostesses"
"6512 Bartenders",4.7235,1.539,2.73,0.75,0.3125,5.2685,371,344.5,378,376,373,210,328.107247395131,309.484105917923,369.075403387509,0,NA,NA,"6512"," Bartenders"
"6513 Food and beverage servers",5.9013,0.8906,1.2388,0.1344,0.1344,5.076,461.5,394,352,383,431,391,400.088798075601,380.239203062744,401.746782053946,0,NA,NA,"6513"," Food and beverage servers"
"6521 Travel counsellors",13.4064,2.7863,10.9682,1.54,1.3125,17.618,217,135.5,108,70,305,14,57.0848900025931,41.1304739720774,130.072989290687,0,NA,NA,"6521"," Travel counsellors"
"6522 Pursers and flight attendants",4.9776,1.0944,1.6632,0.93,0.5244,6.223,345.5,301.5,373,361,411,340,353.195653392283,342.625209839565,355.740219028037,0,NA,NA,"6522"," Pursers and flight attendants"
"6523 Airline ticket and service agents",15.45,1.4352,2.912,0.75,1.6544,18.9819,371,97,69,47,386,192,107.571938992157,79.2009002957367,98.8234463460854,0,NA,NA,"6523"," Airline ticket and service agents"
"6524 Ground and water transport ticket agents, cargo service representatives and related clerks",12.679875,2.5248,3.4945,0.515625,0.884225,15.032875,419.5,232,137,136,322,136,189.808192373511,153.041143006036,205.663234175715,0,NA,NA,"6524"," Ground and water transport ticket agents, cargo service representatives and related clerks"
"6525 Hotel front desk clerks",11.0885,2.8078,2.8749,1.6544,1.54,15.7885,193.5,109.5,175,104,304,196,158.933575658114,136.371956943946,153.019948948033,0,NA,NA,"6525"," Hotel front desk clerks"
"6531 Tour and travel guides",4.095,1.6956,2.32,0.93,0.5244,5.2275,345.5,301.5,393,379,364,260,334.586514572088,325.022170769834,354.580656037599,0,NA,NA,"6531"," Tour and travel guides"
"6532 Outdoor sport and recreational guides",10.64,1.1502,4.0809,1.88,0.5244,12.352,158.5,301.5,204,205,403,99,188.779911056105,173.624654161991,229.536343349535,0,NA,NA,"6532"," Outdoor sport and recreational guides"
"6533 Casino occupations",6.23590625,1.138125,1.4994,0.428125,0.30805,7.94658125,426,361,348,316,405,362,367.149200836803,346.705909670013,367.990449476418,0,NA,NA,"6533"," Casino occupations"
"6541 Security guards and related security service occupations",7.970675,4.5714375,5.1969,1.7753125,1.3125,9.02,173,135.5,299,281,223,68,154.203567173158,139.381595213721,204.776601802683,0,NA,NA,"6541"," Security guards and related security service occupations"
"6551 Customer services representatives - financial institutions",13.1271,0.4305,4.7397,0.75,0.93,15.0025,371,217.5,119.5,137.5,467.5,76.5,158.639925348555,121.216321032295,200.655947556172,0,NA,NA,"6551"," Customer services representatives - financial institutions"
"6552 Other customer and information services representatives",13.1271,0.4305,4.7397,0.75,0.93,15.0025,371,217.5,119.5,137.5,467.5,76.5,158.639925348555,121.216321032295,200.655947556172,0,NA,NA,"6552"," Other customer and information services representatives"
"6561 Image, social and other personal consultants",3.474,0.5654,0.93725,0.75,0.2261,5.12865,371,381,407,382,455,421,401.860069818046,398.033089905843,398.0605852704,0,NA,NA,"6561"," Image, social and other personal consultants"
"6562 Estheticians, electrologists and related occupations",2.98239375,0.966125,0.9477,0.8658625,0.104025,3.52875,355,401,439,424,423,420,409.38845409549,421.561720590194,407.142584825475,0,NA,NA,"6562"," Estheticians, electrologists and related occupations"
"6563 Pet groomers and animal care workers",3.759375,2.1056,1.08915,1.113125,0.0636,4.3497,311,405.5,401,406,342,404,375.133520595363,405.115595202578,369.681138321797,0,NA,NA,"6563"," Pet groomers and animal care workers"
"6564 Other personal service occupations",6.8855,0.91,1.5405,1.0044,0.5244,10.3059,330,301.5,331,247,429,355,324.222508346189,303.972614790172,318.535839811885,0,NA,NA,"6564"," Other personal service occupations"
"6611 Cashiers",5.412,0.9916,1.8832,0,0.1344,4.3512,475,394,361,405,421,300,385.854610746345,361.030712030387,408.909674718894,0,NA,NA,"6611"," Cashiers"
"6621 Service station attendants",13.272,10.7917,1.8643,2.1056,0.69,13.3595,133.5,276.5,113,181,90,301,151.495057655451,188.845846506788,137.763839917717,0,NA,NA,"6621"," Service station attendants"
"6622 Store shelf stockers, clerks and order fillers",4.000425,1.105625,0.9953125,0.2261,0.36230625,8.0215,454,327,396,314,408,413,379.734235473515,358.495721175755,373.550661081566,0,NA,NA,"6622"," Store shelf stockers, clerks and order fillers"
"6623 Other sales related occupations",8.12621875,1.2201,3.379,1.1659375,1.0686,9.6947375,300,176,290,261,398,145,234.551120469526,202.50854839217,266.930574526976,0,NA,NA,"6623"," Other sales related occupations"
"6711 Food counter attendants, kitchen helpers and related support occupations",5.32,1.539,2.8425,0.241111111111111,0.0416,5.22177777777778,453,407.5,365,380,372,202,340.626342730657,314.193672190212,394.057577415366,0,NA,NA,"6711"," Food counter attendants, kitchen helpers and related support occupations"
"6721 Support occupations in accommodation, travel and facilities set-up services",4.280175,1.067175,3.645675,0.414225,0.414225,3.3972,427,320,386,429,415,126,290.709843371652,251.590662005404,391.692353308734,0,NA,NA,"6721"," Support occupations in accommodation, travel and facilities set-up services"
"6722 Operators and attendants in amusement, recreation and sport",9.237375,1.1988,2.6994,1.07985,0.6336,9.4874,314,286,245,266,400,212,277.035374260331,250.163931788007,294.758342103478,0,NA,NA,"6722"," Operators and attendants in amusement, recreation and sport"
"6731 Light duty cleaners",0.7546,0.682,0.5217,0.5244,0,1.9398,406,446,479,460,446,459,449.178480808807,461.702886059487,447.074989253975,0,NA,NA,"6731"," Light duty cleaners"
"6732 Specialized cleaners",2.646,3.58,2.1275,0,0,0.726,475,446,446,477,266,276,374.471290274103,393.065095791611,402.820327897812,0,NA,NA,"6732"," Specialized cleaners"
"6733 Janitors, caretakers and building superintendents",1.8857,1.463,1.764,0,0,2.175,475,446,456,454,382,313,413.2333222024,407.83716842931,441.114369567632,0,NA,NA,"6733"," Janitors, caretakers and building superintendents"
"6741 Dry cleaning, laundry and related occupations",4.9184,2.277,1.1661,0,0,3.184,475,446,374,432,334,400,405.598544219168,412.072167583157,406.530938482046,0,NA,NA,"6741"," Dry cleaning, laundry and related occupations"
"6742 Other service support occupations, n.e.c.",4.0033,1.294125,2.5727625,0.140625,0.140625,4.202025,455.5,386,395,410,392,225,359.233889084558,334.249716846829,407.251300199939,0,NA,NA,"6742"," Other service support occupations, n.e.c."
"7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",8.7843,9.1485,3.795,1.88,0.3125,7.7283,158.5,344.5,265,327,111,114,178.590823381729,217.412724655928,200.797576851353,0,NA,NA,"7201"," Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
"7202 Contractors and supervisors, electrical trades and telecommunications occupations",8.7843,9.1485,3.795,1.88,0.3125,7.7283,158.5,344.5,265,327,111,114,178.590823381729,217.412724655928,200.797576851353,0,NA,NA,"7202"," Contractors and supervisors, electrical trades and telecommunications occupations"
"7203 Contractors and supervisors, pipefitting trades",8.7843,9.1485,3.795,1.88,0.3125,7.7283,158.5,344.5,265,327,111,114,178.590823381729,217.412724655928,200.797576851353,0,NA,NA,"7203"," Contractors and supervisors, pipefitting trades"
"7204 Contractors and supervisors, carpentry trades",8.7843,9.1485,3.795,1.88,0.3125,7.7283,158.5,344.5,265,327,111,114,178.590823381729,217.412724655928,200.797576851353,0,NA,NA,"7204"," Contractors and supervisors, carpentry trades"
"7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",10.6358,13.8507,4.107,2.88,0.9375,9.88,72,209,205,255,49,98,104.671554394282,169.322677746648,105.884748557859,0,NA,NA,"7205"," Contractors and supervisors, other construction trades, installers, repairers and servicers"
"7231 Machinists and machining and tooling inspectors",7.4746,9.94,1.49,5.0625,1.8144,7.3556,28.5,87.5,311.5,335.5,97.5,364.5,93.3739209353063,197.949428581926,81.2720141984932,0,NA,NA,"7231"," Machinists and machining and tooling inspectors"
"7232 Tool and die makers",9.7636,18.847,1.2397,7.5456,1.215,11.5808,5,148.5,230,221,26,390,27.0533832976534,221.238732462056,22.8074954231261,0,NA,1,"7232"," Tool and die makers"
"7233 Sheet metal workers",3.4496,8.0647,0.378,4,0.3125,4.3248,38,344.5,408,409,131,475,139.224084653261,404.890735636703,121.965643026716,0,NA,NA,"7233"," Sheet metal workers"
"7234 Boilermakers",3.7496,10.0835,0.2709,1.75,0,3.906,178.5,446,402,412,95,478,237.951583994049,433.486097868973,216.192555571203,0,NA,NA,"7234"," Boilermakers"
"7235 Structural metal and platework fabricators and fitters",3.6084,9.7572,2.2302,0.75,0,2.664,371,446,403,442,99,265,256.220928060495,372.817196229296,254.350766822432,0,NA,NA,"7235"," Structural metal and platework fabricators and fitters"
"7236 Ironworkers",1.169525,9.126,0.77575,1.996875,0,1.6218,147,446,471,463,115,442,248.491082403149,456.189328122256,228.431504653625,0,NA,NA,"7236"," Ironworkers"
"7237 Welders and related machine operators",3.2091,5.62433333333333,1.0082,1.31666666666667,0.240422222222222,3.49144444444444,249,380,432,425,194,410,318.423105418436,411.749324500622,304.696648248482,0,NA,NA,"7237"," Welders and related machine operators"
"7241 Electricians (except industrial and power system)",7.904,8.294,8.9999,3.5,0,4.9053,49,446,302.5,385.5,128.5,25.5,81.5469917945632,87.2311090387372,139.503637923532,0,NA,NA,"7241"," Electricians (except industrial and power system)"
"7242 Industrial electricians",11.9133,9.0724,8.204625,2.690625,0.515625,6.322,85,313.5,157,357,117,28,89.7031246556793,85.4978195147546,154.299350028634,0,NA,NA,"7242"," Industrial electricians"
"7243 Power system electricians",7.904,8.294,8.9999,3.5,0,4.9053,49,446,302.5,385.5,128.5,25.5,81.5469917945632,87.2311090387372,139.503637923532,0,NA,NA,"7243"," Power system electricians"
"7244 Electrical power line and cable workers",5.3058,6.3756,7.2261,2.5,0.69,7.8144,98,276.5,366,321,175,38,117.975903399556,114.041291387514,198.280373103334,0,NA,NA,"7244"," Electrical power line and cable workers"
"7245 Telecommunications line and cable workers",12.9096,7.9222,24.8746,1.6544,1.0044,11.2132,193.5,194,127,227,133,2,16.5169097674654,11.4070608609897,167.052308131355,1,"Digital",NA,"7245"," Telecommunications line and cable workers"
"7246 Telecommunications installation and repair workers",19.11,10.9682,19.4472,2.5944,3.24,16.9608,91,47,30,82,87,3,17.7844809619832,12.6927879550885,57.2260525732621,1,"Digital",NA,"7246"," Telecommunications installation and repair workers"
"7247 Cable television service and maintenance technicians",18.4274,17.3376,14.8732,2.82,3.18,13.5044,75.5,48,35,177,31,6,24.8980263100357,20.3395627530364,50.9549913155705,1,"High-Tech",NA,"7247"," Cable television service and maintenance technicians"
"7251 Plumbers",7.4166,12.5644,1.827,2.35,0,1.6055,106,446,314,464,56,305,159.067207953201,369.335849352424,145.129744807093,0,NA,NA,"7251"," Plumbers"
"7252 Steamfitters, pipefitters and sprinkler system installers",1.4356,11.324,1.302,3.24,0.28,1.3311,55,371,469.5,469.5,79.5,381.5,150.62943802682,418.701374238798,134.34189283088,0,NA,NA,"7252"," Steamfitters, pipefitters and sprinkler system installers"
"7253 Gas fitters",1.4356,11.324,1.302,3.24,0.28,1.3311,55,371,469.5,469.5,79.5,381.5,150.62943802682,418.701374238798,134.34189283088,0,NA,NA,"7253"," Gas fitters"
"7271 Carpenters",3.526,11.3155,0.9225,2.82,1.215,2.0492,75.5,148.5,405.5,457.5,82.5,423.5,154.903993916376,292.275334707523,137.445874350921,0,NA,NA,"7271"," Carpenters"
"7272 Cabinetmakers",3.526,11.3155,0.9225,2.82,1.215,2.0492,75.5,148.5,405.5,457.5,82.5,423.5,154.903993916376,292.275334707523,137.445874350921,0,NA,NA,"7272"," Cabinetmakers"
"7281 Bricklayers",2.16826666666667,6.09591111111111,0.818088888888889,1.49048888888889,0.194444444444444,3.0498,229,383,451,435,184,437,313.37368347855,425.838198942096,296.500718893328,0,NA,NA,"7281"," Bricklayers"
"7282 Concrete finishers",2.08,1.2876,3.1816,1.3125,0.1344,2.8944,262.5,394,453,437,393,163,308.513551472058,304.995333902349,374.516931847261,0,NA,NA,"7282"," Concrete finishers"
"7283 Tilesetters",0.9936,3.0336,0.8848,1.96,0,0.834,149,446,474,475,293,431,318.706781621571,456.722423316862,302.823517325954,0,NA,NA,"7283"," Tilesetters"
"7284 Plasterers, drywall installers and finishers and lathers",0.812,2.3562,0.8601,1.54,0,4.7499,217,446,477,392,331,435,357.856481025229,436.33377915694,345.472784205137,0,NA,NA,"7284"," Plasterers, drywall installers and finishers and lathers"
"7291 Roofers and shinglers",2.0178,7.1703,1.1928,1.3125,0,3.7584,262.5,446,455,414,155,396,306.686188464586,427.412111533077,293.339773830063,0,NA,NA,"7291"," Roofers and shinglers"
"7292 Glaziers",1.1242,2.9141,1.2533,1.54,0,2.8684,217,446,472,438,299,389,350.594307273685,435.099083580158,343.649815461616,0,NA,NA,"7292"," Glaziers"
"7293 Insulators",1.749,2.7267,0.417,1.75,0,1.3114,178.5,446,460,471,309,473,344.204069166109,463.248065798387,326.332095296896,0,NA,NA,"7293"," Insulators"
"7294 Painters and decorators (except interior decorators)",3.198,2.8365,0.745,0.69,0,0.8142,387,446,433,476,302,444,406.433555390829,450.20147075031,399.508776470104,0,NA,NA,"7294"," Painters and decorators (except interior decorators)"
"7295 Floor covering installers",1.02225,4.446475,0.404625,0.99015,0,1.4615,339,446,473,466,231,474,378.669468417903,465.471775685721,363.909228652139,0,NA,NA,"7295"," Floor covering installers"
"7301 Contractors and supervisors, mechanic trades",11.2055,10.285875,2.7805,2.3086,1.072025,10.54295,112,174,172,241,93,205,150.116008651125,195.30074312325,142.390430416597,0,NA,NA,"7301"," Contractors and supervisors, mechanic trades"
"7302 Contractors and supervisors, heavy equipment operator crews",8.7843,9.1485,3.795,1.88,0.3125,7.7283,158.5,344.5,265,327,111,114,178.590823381729,217.412724655928,200.797576851353,0,NA,NA,"7302"," Contractors and supervisors, heavy equipment operator crews"
"7303 Supervisors, printing and related occupations",10.9263,11.4,1.746,2.1056,0.28,8.708,133.5,371,188,293,72,323,168.536807229479,276.492134831461,153.779379276068,0,NA,NA,"7303"," Supervisors, printing and related occupations"
"7304 Supervisors, railway transport operations",9.483,7.1466,3.6225,1.2225,0.49125,8.67,283,316,234,300,156,130,212.342073602901,217.796830162636,242.451209701622,0,NA,NA,"7304"," Supervisors, railway transport operations"
"7305 Supervisors, motor transport and other ground transit operators",5.44373333333333,3.65942222222222,2.95933333333333,0.962011111111111,0.0866666666666667,4.76777777777778,340,403,359,390,252,185,298.923358246892,303.33101101892,340.235797921159,0,NA,NA,"7305"," Supervisors, motor transport and other ground transit operators"
"7311 Construction millwrights and industrial mechanics",8.8128,13.52,2.7667,3.87,2.14485,6.019,43,74,261,366,52,207,90.5280331382663,162.057382158407,81.3403323443458,0,NA,NA,"7311"," Construction millwrights and industrial mechanics"
"7312 Heavy-duty equipment mechanics",10.557,7.8948,1.0626,3.0456,1.0044,11.6272,61.5,194,207,220,134,405,148.768029969575,236.352999928658,132.03693582257,0,NA,NA,"7312"," Heavy-duty equipment mechanics"
"7313 Refrigeration and air conditioning mechanics",12.2379,12.95235,3.2058,3.38,0.6072,8.1176,52.5,288,154,312,55,159,107.324080873968,206.646701312226,100.693901133244,0,NA,NA,"7313"," Refrigeration and air conditioning mechanics"
"7314 Railway carmen/women",0.735,4.12,1.991,1.8144,0,0.3094,170.5,446,480,482,239,288,302.353672339528,406.225836196232,305.173874363637,0,NA,NA,"7314"," Railway carmen/women"
"7315 Aircraft mechanics and aircraft inspectors",7.7472,13.4583,3.3325,2.5,0.75,15.88,98,256,307,101,53,151,115.074354152712,170.063162714205,109.742370084072,0,NA,NA,"7315"," Aircraft mechanics and aircraft inspectors"
"7316 Machine fitters",7.4746,9.94,1.49,5.0625,1.8144,7.3556,28.5,87.5,311.5,335.5,97.5,364.5,93.3739209353063,197.949428581926,81.2720141984932,0,NA,NA,"7316"," Machine fitters"
"7318 Elevator constructors and mechanics",13.572,13.1472,3.8556,3,1.215,11.52,65,148.5,106,224,54,107,95.129685689486,134.505950348815,92.9151537759558,0,NA,NA,"7318"," Elevator constructors and mechanics"
"7321 Automotive service technicians, truck and bus mechanics and mechanical repairers",15.0573888888889,14.2165333333333,3.45336666666667,2.56194444444444,2.13888888888889,14.868,95,75,75,147,47,139,83.9567079564236,99.4643759474482,77.7332411886662,0,NA,NA,"7321"," Automotive service technicians, truck and bus mechanics and mechanical repairers"
"7322 Motor vehicle body repairers",1.62,2.4628,0,0.75,0.5244,8.54,371,301.5,464,304,324,483,362.182757289718,370.331726068045,344.825055835464,0,NA,NA,"7322"," Motor vehicle body repairers"
"7331 Oil and solid fuel heating mechanics",10.66,11.3157,3.0351,3.9856,0.5244,10.1618,39,301.5,203,250,81,179,109.205103557087,225.385568670439,101.241357532372,0,NA,NA,"7331"," Oil and solid fuel heating mechanics"
"7332 Appliance servicers and repairers",14.0448,9.3,1.4432,1.88,1.0044,6.7683,158.5,194,95,342,104,367.5,162.305034913322,188.910679612639,145.969523000777,0,NA,NA,"7332"," Appliance servicers and repairers"
"7333 Electrical mechanics",14.3784,13.55064,4.9184,2.9289,2.025448,12.941508,68,78,88,193,51,73,78.6515367611384,93.979805014576,79.6529109323095,0,NA,NA,"7333"," Electrical mechanics"
"7334 Motorcycle, all-terrain vehicle and other related mechanics",13.8095,7.3745,1.7368,1.3125,0.69,8.3524,262.5,276.5,100,308,149,330,198.51956828504,202.408789137317,183.80614393441,0,NA,NA,"7334"," Motorcycle, all-terrain vehicle and other related mechanics"
"7335 Other small engine and small equipment repairers",8.4064,10.6848,2.7022,1.3125,0.5244,10.8703,262.5,301.5,281.5,230,91,211,196.359332863565,251.705404896356,193.504112660124,0,NA,NA,"7335"," Other small engine and small equipment repairers"
"7361 Railway and yard locomotive engineers",5.1641,3.5109,6.006,0.572025,0,2.17195,393,446,371,455,269,55,192.201682045007,160.157378188869,374.249655614512,0,NA,NA,"7361"," Railway and yard locomotive engineers"
"7362 Railway conductors and brakemen/women",8.1189,3.7948,6.069,0.5244,0.75,8.544,406,256,293.5,302.5,248.5,53.5,169.514646548941,138.264045384213,293.314522095805,0,NA,NA,"7362"," Railway conductors and brakemen/women"
"7371 Crane operators",3.10901111111111,7.21327777777778,3.20666666666667,0.7884,0,3.11624444444444,361,446,436,433,154,158,268.661141682746,304.903109717258,311.649638781916,0,NA,NA,"7371"," Crane operators"
"7372 Drillers and blasters - surface mining, quarrying and construction",1.8056,8.694,3.015,2.1056,0,2.6492,133.5,446,458.5,443.5,121.5,181.5,216.287958246333,329.419123996979,224.604594590393,0,NA,NA,"7372"," Drillers and blasters - surface mining, quarrying and construction"
"7373 Water well drillers",1.8056,8.694,3.015,2.1056,0,2.6492,133.5,446,458.5,443.5,121.5,181.5,216.287958246333,329.419123996979,224.604594590393,0,NA,NA,"7373"," Water well drillers"
"7381 Printing press operators",2.618,3.237,0.1904,2.5944,1.62,6.751,91,101.5,448,343,280,481,191.124078819849,235.78045513972,170.540611045387,0,NA,NA,"7381"," Printing press operators"
"7384 Other trades and related occupations, n.e.c.",11.34,7.722,4.3512,2.2356,0.93,10.5987,115,217.5,169,239,138,86,143.079031932675,153.139758306412,164.254248605359,0,NA,NA,"7384"," Other trades and related occupations, n.e.c."
"7441 Residential and commercial installers and servicers",8.256976,12.1575,4.148352,2.7927,0.831152,6.18324,79.5,239,288,364,59,94,120.043352429627,191.452451233789,126.724636055421,0,NA,NA,"7441"," Residential and commercial installers and servicers"
"7442 Waterworks and gas maintenance workers",6.321,7.6127,4.1145,3.24,0.1344,3.5708,55,394,346,422,140,96,139.417591593817,221.155338223508,152.779529052011,0,NA,NA,"7442"," Waterworks and gas maintenance workers"
"7444 Pest controllers and fumigators",3.3293,2.2098,0.9075,1.0044,0,3.55,330,446,414,423,336,426,391.244137556571,427.93628125031,384.799713378661,0,NA,NA,"7444"," Pest controllers and fumigators"
"7451 Longshore workers",4.2224,1.26,0.5986,0.3125,0,2.94,439.5,446,388,436,394,449,424.923899314057,429.259057379886,420.240348517734,0,NA,NA,"7451"," Longshore workers"
"7452 Material handlers",3.39622222222222,3.38183333333333,0.822466666666667,1.28506666666667,0.0902777777777778,5.2728,277,402,412,375,276,436,351.744589438864,406.06659135453,338.535445989292,0,NA,NA,"7452"," Material handlers"
"7511 Transport truck drivers",3.9725,2.5752,4.2,1.0044,0.1344,4.8564,330,394,399,388,317,93,245.836758049967,219.29058091093,363.157213181876,0,NA,NA,"7511"," Transport truck drivers"
"7512 Bus drivers, subway operators and other transit operators",4.3586,1.77922222222222,4.73675555555556,0.3125,0,2.79937777777778,439.5,446,383,440,360,78,241.863945408571,202.356392881781,411.55286542857,0,NA,NA,"7512"," Bus drivers, subway operators and other transit operators"
"7513 Taxi and limousine drivers and chauffeurs",6.6049,1.1039,4.7232,0.75,0,3.08,371,446,340,434,409,79,239.084451979784,200.315112100327,396.959771080813,0,NA,NA,"7513"," Taxi and limousine drivers and chauffeurs"
